192604,1,TP-LINK TL-SF1005D 5口百兆交换机 4口网络分...,75.00
178331,1,绿联 30165 1米 USB安卓充电 Type-C数据线 白色,23.00
191206,1,JH晶华 6类通用网线跳线 黑色1米 1米,4.85
1001,1,希捷 STEA2000400 Expansion 新睿翼2TB ...,665.00
188187,1,金士顿 1600 DDR3 4GB 台式机内存条,320.00
170069,1,希捷 新睿翼 STEA4000400 2.5寸硬盘 USB3.0...,939.00
194932,1,得力 2801G 可充电 绿光便携式翻页笔/PPT翻页笔/激光翻...,154.00
137191,1,罗技 PRO C920 高清网络摄像头,629.10
161262,1,三星（SAMSUNG）128G 全金属五防 USB3.0 高速闪...,276.21
141109,1,富士通（Fujitsu）iX500扫描仪A4高速双面自动进纸无线...,2770.02
140094,1,雷柏（Rapoo） X120 USB 有线键鼠套装 黑色,49.40
179284,1,惠斯特 H10 激光笔 黑,123.80
152149,1,飞利浦 高速六类网络跳线 SWA1946B/93,12.87
142185,1,罗技（Logitech）M186无线鼠标 灰色（910-004131）,68.31
169093,1,得力 2803 翻页激光笔 教学笔 无线商务投影仪笔 锂电池,137.00
161417,1,闪迪　64G SD卡SDXC存储卡 95MB/s UHS-I,300.00
164505,1,兰贝 UC5E-5 超五类非屏蔽数据跳线8芯 5米,21.50
144561,1,360安全无线路由器P2 5G光纤级高速智能路由（银白色）,147.51
193462,1,国产 T5 双头插 连接线 白色,6.00
149720,1,希捷（Seagate）STDR1000300,434.61
162028,1,秋叶原 Q-601 hdmi线 高清线3D电脑接投影仪电视 5米,107.00
163567,1,金士顿 4G 2133 DDR4 四代内存普条 台式机内存条,575.00
140024,1,罗技（Logitech）MK270无线键鼠套装(920-003381),127.71
161021,1,小米（MI）便携鼠标 银色,93.06
114473,1,罗技 MK270 无线键鼠套装 鼠标键盘套装,110.60
144436,1,闪迪（SanDisk）OTG 64GB 安卓手机U盘,153.35
148538,1,蓝色妖姬 Z506 内置麦克风高清摄像头 黑色,58.90
884,1,西部数据 WDBU6Y0020BBK Elements新元素系列...,851.00
179191,1,绿联 音频延长线3.5mm 公对母 加长1.5米,29.00
136205,1,TP-LINK TL-WR890N 450M无线路由器(全金属机...,151.50
188247,1,TP-LINK TL-SG1008D 8口千兆铁壳 交换机,200.00
142207,1,吉选（gesobyte) XM110 USB有线游戏鼠标 黑色,24.75
187577,1,TP-LINK TL-WR886N 三天线450M无线路由器 宝蓝,102.60
751,1,TP-LINK TG-3269C 千兆PCI网卡,44.84
161292,1,TP-LINK TL-WDR5620 1200M 11AC智能双...,124.34
144435,1,闪迪（SanDisk）OTG 32GB 安卓手机U盘 USB3.0,89.00
176469,1,罗技 M186 无线光学鼠标 灰色,70.00
170163,1,得力 2803 可充电激光笔 黑,159.00
137927,1,爱国者 R6611 声控录音笔 8G,217.60
135661,1,希捷 STDR2000300 Backup Plus 睿品升级版...,877.99
165633,1,威迅 VAA-V05 HDMI转VGA转换器 黑色,41.60
140035,1,罗技（Logitech）MK345无线键鼠套装(920-006490),187.11
265,1,华硕 SDR-08B1-U 外置超薄DVD光驱 黑色,315.00
181553,1,绿联 40253 高清视频转接 HDMI转VGA线转换器 配,58.00
144492,1,美国网件（NETGEAR) JNDR3000 600M并发双频 ...,187.11
194944,1,国产 3米 电话线,7.00
155277,1,金士顿 TF CLAA10 64G 内存卡储存 高速tf卡,204.70
932,1,飞利浦 VTR5100 8GB 录音笔 经典锖,399.00
189870,1,爱国者（aigo）苹果U盘U368-32G(银),148.40
173261,1,戴尔 服务器 ECC 内存条 32G DDR4 2400Mhz ...,4169.00
163587,1,汉王 扫描笔 V587 汉王速录笔汉王扫描笔,599.00
175888,1,汉王 免驱版手写板 无线笔手写板,319.00
196137,1,金士顿 DTSE9G2 32G U盘金属 USB3.0高速u盘,99.00
168238,1,得力 3938 无线遥控教学激光笔 可翻页 红光,136.00
149563,1,睿因 wavlink WL-NWU320G USB3.0千兆网卡,78.21
195406,1,大华 DH-IPC-HDW2125C-A 130万半球摄像头,668.00
154197,1,现代 HYM-4058 (8G) 录音笔 微型,165.50
160889,1,西部数据（WD）WDBYNN0010BBK-CESN 移动硬盘 ...,385.11
180605,1,国产 双花 4平方 单芯多股电线 95米/卷,395.00
144545,1,TP-LINK 450M无线路由器（金属机身） TL-WR890N,127.71
142265,1,雷柏（Rapoo） M17无线光学鼠标 黑色 黑色,28.71
164298,1,罗技 MK200 USB有线多媒体键鼠套装 黑,98.00
154830,1,山泽 SZ-5305 工程级超五类高速网线 网络跳线 305米/箱,498.00
193750,1,TP-LINK TR-962D 百兆单模双纤收发器,177.70
176369,1,得力 2801 翻页激光笔 红光100m 黑色,110.00
163570,1,金士顿 8G 2400 DDR4 台式机内存条 单条8GB,795.00
177699,1,希捷 STEA4000400 Expansion新睿翼4TB 2...,1035.00
144433,1,闪迪（SanDisk）酷豆（CZ43）16GB U盘,58.41
194624,1,国产 QT-817 8米/根 电话线 白色,8.50
169827,1,TP-LINK TR-962D 百兆SC单模双纤光纤收发器 光电转换器,189.00
160877,1,希捷（Seagate）STDR2000301,583.11
175993,1,金士顿 DTSE9G2 128GB U盘 USB3.0 金属银...,417.00
140724,1,苏宁自营 金士顿 (Kingston) 低电压版 DDR3 16...,494.01
189889,1,闪迪 酷豆 16GB U盘（SDCZ33-016G-Z35）,41.58
166110,1,飞利浦 VTR8200 便携音视频记录仪 高清红外广角夜视摄像机...,2280.00
168160,1,希捷 移动硬盘 STDR4000300 2.5英寸 Backup...,1099.00
165359,1,希捷 移动硬盘 USB3.0 1TB 2.5寸,576.00
166183,1,微力达 全棉替换装 拖布 拖把配件替换头,45.00
167721,1,金士顿 SD10VG2 128G 80MB/S 银色,369.00
175660,1,CNCOB rj45 非屏蔽8芯镀金 超五类网络线接头/网线水晶头,39.60
114483,1,罗技 K230 无线键盘,96.00
114510,1,罗技 MK220 无线光电键鼠套装 鼠标键盘套装,103.00
154191,1,飞利浦 VTR 5100 VTR5100专业录音笔正品微型迷你超...,410.00
179295,1,绿联 11150 1.5m HDMI转DVI线 转接线 黑色,35.00
174944,1,闪迪 32G 读速95MB/s 储存卡 内存卡 SD卡,196.00
142194,1,吉选（gesobyte) WM1001 可充电静音无线鼠标 黑色,29.60
166800,1,兰贝 超五类4对非屏蔽双绞线 网线 CLA04-UC5E 305米/箱,560.00
192928,1,希捷 Expansion STEA2000400 新睿翼2TB ...,595.00
165852,1,希捷 STDR5000300 5TB USB3.0移动硬盘,1387.00
148460,1,罗技 M320 无线鼠标 灰色,121.70
140040,1,吉选（gesobyte) WKM138 无线键鼠套装,49.40
161826,1,西部数据 WD10EJRX 1TB 紫盘 企业级 监控 台式机 ...,384.00
114504,1,罗技 M557 无线蓝牙鼠标 红,147.00
195407,1,大华 DH-IPC-HFW2125M-I1 130万枪机摄像头,668.00
154969,1,定澄 电话线 100米/卷,49.97
142177,1,罗技（Logitech）G100s游戏鼠标 蓝色(910-003...,137.61
175208,1,闪迪 OTG 128GB 至尊高速 USB3.0手机U盘（mic...,320.00
142193,1,吉选（gesobyte) M800 USB有线鼠标 黑色,9.80
144513,1,普联 TL-WR886N 450M无线路由器（水蓝）,98.01
154799,1,得力　3938　激光笔,136.00
163566,1,金士顿 8G 1600内存条 笔记本内存条8G DDR3,595.00
136193,1,罗技 K400 无线键盘 黑色,200.00
145186,1,全新Kindle电子书阅读器（黑色）,552.42
170022,1,华为（HUAWEI）联通/电信双4G版无线路由器 移动随身随行W...,493.00
191016,1,希捷新酷鱼系列台式机硬盘盒装(ST1000DM010),286.11
168240,1,得力 3937 翻页激光笔(黑色) PPT演示笔,109.60
167473,1,金士顿 内存卡 128G 高速SD卡 内存卡,369.00
152147,1,飞利浦高速超五类网络线数据连接线SWA1938/93-2(2米),9.80
192603,1,TP-LINK TL-AP450D 企业商用大功率无线桌面式路由...,313.00
186974,1,三星（SAMSUNG）C24F399FHC 23.5英寸显示器,959.31
194693,1,闪迪 存储卡128g 通用高速手机内存卡micro sd卡tf卡,245.00
143500,1,索尼录音笔ICD-TX650BC2 黑色,870.21
196241,1,汉王 e1190 Air 高拍仪 1000万像素A3幅面双摄像头扫描仪,1399.00
188835,1,WDBUZG0010BBK-0B,385.11
175810,1,罗技 MK850 无线键鼠套装,675.00
152772,1,SANDISK(闪迪)ExtremePro(32G)SD卡 高速...,140.48
164854,1,国产 PCI-E网卡 1000M网卡,56.00
144634,1,联想（lenovo）商用扬天显示器19.5宽LED,711.81
179989,1,秋叶原 Q-601 1M HDMI数字高清线 2.0版,39.00
192789,1,神思 SS628-500 手持式二三代身份证阅读器,3154.00
162079,1,闪迪 64GB至尊极速 CompactFlash存储卡 CF卡 ...,475.00
144428,1,闪迪（SanDisk）酷刃（CZ50）32GB U盘,58.31
